surname,popularity
Alaimo,1 825
Picone,1 824
Tomei,1 823
Di filippo,1 821
Cristiano,1 819
Turri,1 819
Formica,1 818
Lovato,1 817
Salvetti,1 816
Anto,1 816
Zucca,1 814
Benedetto,1 813
Nicotra,1 813
Barra,1 812
Gennaro,1 811
Lecca,1 809
Miselli,1 809
Arrigoni,1 809
Traverso,1 809
Bisio,1 808
Carloni,1 808
Ferrando,1 808
Comi,1 808
Barbagallo,1 807
Magrini,1 807
Fabbro,1 805
Carollo,1 804
Ottaviani,1 803
Di franco,1 802
Vergani,1 801
Belletti,1 800
Palladino,1 799
Giani,1 798
Pascucci,1 796
Benigni,1 796
Beta,1 796
Borelli,1 796
Cimaglia,1 795
Piccione,1 794
Lollo,1 794
Danesi,1 791
Caroli,1 791
Colombi,1 790
Mazzoli,1 790
Pirro,1 790
Mameli,1 789
Monni,1 788
Torelli,1 788
Amodio,1 787
Venezia,1 785
Di costanzo,1 784
Dotti,1 784
Fioravanti,1 784
Capponi,1 783
Peruzzi,1 783
Marcon,1 782
Storti,1 781
Palmeri,1 780
Benelli,1 779
Caiazzo,1 777
Luzzi,1 771
Pesenti,1 768
Zambon,1 768
Picci,1 767
Nardo,1 766
Facchinetti,1 765
Cantini,1 764
Schillaci,1 764
Galati,1 763
Evangelista,1 762
Collu,1 761
Barletta,1 761
Tassinari,1 759
Sironi,1 758
Politi,1 758
Morrone,1 757
Frasca,1 757
Giacalone,1 756
Sale,1 755
Bravi,1 755
Di maria,1 754
Curcio,1 754
Serio,1 753
Lella,1 750
Laurenti,1 748
Savoia,1 748
Bassani,1 746
Cremonesi,1 745
Sciacca,1 744
Vera,1 743
Francia,1 742
Bertani,1 742
Pedretti,1 741
Marin,1 737
Verri,1 737
Porcelli,1 736
Consonni,1 736
Urso,1 735
Accardo,1 733
Austacchio,1 733
Maione,1 733
Filippone,1 732
Ferranti,1 730
Pio,1 730
Palomba,1 729
Salemi,1 728
Maresca,1 728
Mapelli,1 728
Brizzi,1 728
Davide,1 727
Giardini,1 727
De vito,1 726
Marchetto,1 725
Poppi,1 724
Carrieri,1 723
Tanzi,1 723
Angeletti,1 722
Anastasi,1 719
Cecchetti,1 717
Bressan,1 717
Desideri,1 717
Crispino,1 716
Rose,1 716
Margiotta,1 716
Cesarini,1 715
Bertelli,1 715
Valenza,1 715
Schiano,1 714
Restivo,1 713
Pegoraro,1 713
Esposto,1 713
Reggiani,1 712
Quattrocchi,1 711
Menegatti,1 710
Mancinelli,1 709
Bova,1 706
Allegretti,1 705
Oliviero,1 704
Trentin,1 704
Padovan,1 703
Gini,1 702
Guetta,1 702
Italiano,1 700
Nico,1 700
Pili,1 699
Luzi,1 698
Cassani,1 697
Govoni,1 694
Toso,1 694
Mazzarella,1 692
Rispoli,1 688
Savio,1 687
Sabato,1 687
Piccini,1 687
Baldoni,1 687
Lauro,1 686
Manfredini,1 685
Laterza,1 683
Di giuseppe,1 683
Vannini,1 683
Cimmino,1 682
Canova,1 679
Molinaro,1 678
Peretti,1 674
Ascione,1 674
Derosa,1 674
Prandi,1 673
Italia,1 673
Barbero,1 671
Salaris,1 667
Sapienza,1 665
Garavaglia,1 665
Bagnoli,1 663
Cecere,1 662
Fiorino,1 662
Di maggio,1 661
Loffredo,1 660
Merlino,1 659
Pavia,1 658
Cannone,1 658
Blue,1 657
Tamburini,1 657
Vittori,1 656
Giannotti,1 656
Melandri,1 654
Todisco,1 654
Ronchetti,1 651
Puggioni,1 651
